Client Name,Project Name,Due Date
Bergen Oral ,Bergen Oral Surgery: June Blog: Signs you need wisdom teeth removed,6/6/24
Bergen Oral ,Bergen Oral Surgery - Lyme disease and tooth loss,1/24/25
Bergen Oral ,Bergen Oral Surgery Blog - can you keep your wisdom teeth? ,10/8/24
Bergen Oral ,Bergen Oral Surgery Blog 1 - best oral surgeons in NJ,5/14/24
Bergen Oral ,Bergen Oral Surgery - Blog rewrite - pericoronitis,9/16/24
Bergen Oral ,Bergen Oral Surgery Blog - impacted wisdom teeth,1/28/25
Transworld,TBA SD North - how to sell a small business - blog,2/7/15
Transworld,TBA SD North - how long does it take to sell a business? blog,2/14/25
Transworld,TBA Boston blog - when to see your buisness,1/27/25
Transworld,TBA Boston blog - selling a construction company,1/29/25
Transworld,TBA boston - business exit planning blog,2/5/25
Transworld,TBA boston - seling a plumbing business - blog,2/14/25
Transworld,Transworld: how much does a business valuation cost? blog,2/13/25
Transworld,Transworld - Goodwill in business - blog,2/7/25
Transworld,Transworld - how to transfer a business - blog,2/19/25
Transworld,Transworld - how to price a business for sale - blog,2/10/25
Transworld,Transworld Blog : what is seller financing for a business,1/9/25
Transworld,Transworld Blog: Selling a business that is not profitable,1/16/25
Nielsen Automotive Group,Nielsen Auto Group | January Content,1/31/25
Dave Cantin Group,DCG - jump IQ landing page - update language,5/24/24
Dave Cantin Group,DCG - MOR Deep Dive - Valuations and industry adaptations,7/30/24
Dave Cantin Group,DCG - write short video intro,8/15/24
Dave Cantin Group,DCG - update language in Dave's blog,5/24/24
Dave Cantin Group,MOR - deeper dive - EV's impact of poltical and regulatory climate and changing consumer demand,7/26/24
Dave Cantin Group,DCG - create 'attorney' blog out of draft article,5/1/24
Dave Cantin Group,DCG - 'post' NADC recap blog,9/19/24
Dave Cantin Group,DCG - update P&L blog with current information,6/21/24
Dave Cantin Group,DCG MOR deeper dive - M&A activity and dealer's interest in succession planning,7/26/24
Dave Cantin Group,DCG - blog - five must-do tips for planning a leadership succession,5/2/24
Dave Cantin Group,DCG blog - cyber attack (see press release),7/2/24
Dave Cantin Group,DCG - TN/MS/AL conference sponsorship blog,7/31/24
Dave Cantin Group,DCG blog - customer service & dealer profitability,5/8/24
Dave Cantin Group,DCG - floor planning blog,7/3/24
Dave Cantin Group,DCG blog: inventory supply and demand by days,7/31/24
SGW Law,SGW | December Content,12/30/24
SGW Law,SGW | October Content,11/5/24
SGW Law,SGW | January Content,1/27/25
SGW Law,SGW | February Content,2/20/25
JAG Physical Therapy,JAG PT | November & December Content,11/6/24
JAG Physical Therapy,JAG PT | Q1 Content,1/31/25
Bergen Oral ,Bergen Oral | Content for creative pieces,11/13/24
Bergen Oral ,Bergen Oral | scannable Doc copy ,11/15/24
Cg Team,Cg | Q4 content,12/15/24
Cg Team,Cg  tax quarterly content,6/21/24
Cg Team,Cg | January content,1/31/25
Cg Team,Cg  Tax | july content,8/5/24
Cg Team,Cg Tax | august content,8/13/24
Cg Team,Cg Tax | september content,8/21/24
Town Square Marlton NJ,Town Square: Ad revisions,6/1/23
Town Square Jersey Shore,Town square jersey shore: headshot formatting,5/26/22
The Dome at Adventure Crossing,adventure crossing - edits needed to labor day filer,9/1/23
The Dome at Adventure Crossing,the dome: quick menu edit,4/18/24
The Dome at Adventure Crossing,dome | website header,6/21/24
The Dome at Adventure Crossing,update logos on banner Ads,2/9/24
The Dome at Adventure Crossing,The Dome: finalize step & repeat,5/1/24
The Dome at Adventure Crossing,ADV CROSSING: update lawn sign creative,9/5/23
The Dome at Adventure Crossing,Adv crossing: menu revisions,1/18/24
The Dome at Adventure Crossing,update logos on banner ads,2/12/24
The Dome at Adventure Crossing,Adventure Crossing: PDF text message flyer,9/5/23
The Dome at Adventure Crossing,Update LOGO on google ads,1/12/24
The Dome at Adventure Crossing,ADV Crossing: Menu updates,12/26/23
The Dome at Adventure Crossing,Update THE DOME LOGO (again) - Google Ads,2/13/24
The Dome at Adventure Crossing,Adv Crossing: One sheeter for events,12/14/23
The Dome at Adventure Crossing,THE DOME: event PDF updates,3/21/24
The Dome at Adventure Crossing,Adventure Crossing: Digital sign slide,4/22/24
The Dome at Adventure Crossing,Adv Crossing: social media wall design,8/11/23
The Dome at Adventure Crossing,Adv Crossing: menu changes,6/15/23
The Dome at Adventure Crossing,The Dome: Resize videos as thumbnails,3/13/24
The Dome at Adventure Crossing,The Dome: banner image update,5/22/24
Single Throw Operations,Performance Ortho: Blue body,10/17/24
Single Throw Operations,STM Business Cards,11/4/22
Single Throw Operations,Retouching,10/13/22
Single Throw Operations,ST | Business card updates,10/28/24
"SH Town Square Franchsing, Inc",Town Square: navigation mockup,5/21/24
"SH Town Square Franchsing, Inc",Town Square: Image touch up ,9/26/24
"SH Town Square Franchsing, Inc",Town Square redesign PSDs,3/28/24
"SH Town Square Franchsing, Inc",Town Square: map graphic,6/17/24
Seaview Orthopaedics,Seaview: creative update,5/2/24
Seaview Orthopaedics,Seaview Orthopedic display ads,4/22/24
Sally Boy's Pizza,Sally Boy's: slight menu edit,
Sally Boy's Pizza,Sally Boy's: edit slice logo,3/13/23
Sally Boy's Pizza,Sally Boy's: menu updates,
Sally Boy's Pizza,Sally Boy's: update to business card for Jeremy,9/20/24
Sally Boy's Pizza,Sally Boy's : update menu design,3/16/23
Sally Boy's Pizza,Sally Boy's: review menu,5/31/23
Sally Boy's Pizza,Sally Boy's : update menu raydiant screen,3/16/23
Sally Boy's Pizza,Sally Boy's: create print-ready files for stickers,4/28/23
Sally Boy's Pizza,Sally Boy's: create specials raydiant screen,3/29/23
Sally Boy's Pizza,Sally Boy's - new menu edits,10/22/24
Sally Boy's Pizza,Sally Boy's: review/vip sign up business card,7/20/23
Sally Boy's Pizza,Sally Boy's: creative close-out tasks,5/2/23
Sally Boy's Pizza,Sally Boy's: create screen graphics,3/9/23
Sally Boy's Pizza,Sally Boy's: design edits for catering menu,6/2/23
Sally Boy's Pizza,Sally Boys: menu edits,3/21/23
Sally Boy's Pizza,Sally Boys: remove pricing from menu,5/12/23
Sally Boy's Pizza,Sally Boy's: slice flyer,3/16/23
Sally Boy's Pizza,Update sally boy's menu design,9/13/22
Sally Boy's Pizza,Sally Boy's: menu proofing comments,4/13/23
Performance Ortho,Performance Ortho: Blue subpage headers,10/18/24
Performance Ortho,Performance Ortho: new headshots,10/4/24
"Micro Air, LLC",Micro-Air product update ads,5/29/24
"Micro Air, LLC",Micro-Air spring sale display ads,4/5/24
"Micro Air, LLC",Create additional ad sizes,3/12/25
"Micro Air, LLC",MicroAir-HOME-display sizes,3/12/25
"Micro Air, LLC",Micro-Air RV display sizes,3/12/25
"Micro Air, LLC",Micro Air display ads update,2/23/24
"Micro Air, LLC",Another MicroAir display ad,3/13/25
JAG Physical Therapy,JAG: website rebranding,10/25/23
Impackt Packaging Solutions,Impackt: Image edit,6/24/22
Dealer News Today,DNT: automotive news ad,3/13/23
DCG Giving,create map pin with current logo DCG giving log,6/1/22
Dave Cantin Group,DCG - OAp document updates - again,4/4/24
Dave Cantin Group,DCG Artwork for Bertera Nissan - PSD auto transaction,8/14/24
Dave Cantin Group,DCG - resize logo,12/20/24
Dave Cantin Group,DCG - Lancaster dodge closing,12/8/23
Dave Cantin Group,DCG,2/19/24
Dave Cantin Group,Update ads in Figma - DCG MOR,11/12/24
Dave Cantin Group,DCG rothrock transaction - card and banner,10/18/23
Dave Cantin Group,DCG - create deal summary banner Stephen's transaction,2/5/24
Dave Cantin Group,DCG - pitchbook ad - MOR - 160 x 420,5/20/24
Dave Cantin Group,Sally Boy's - business card - jeremy kirchmer,9/12/23
Dave Cantin Group,DCG - update Brian's powerpoint slides,1/24/24
Dave Cantin Group,DCG capital - edits to QAP documents,9/5/24
Dave Cantin Group,DCG: Minor revisions to sales process document,6/15/23
Dave Cantin Group,DCG - update brandon werley's business card with QR code,12/22/23
Dave Cantin Group,DCG - home page hero images for Jump IQ,11/22/23
Dave Cantin Group,DCG - create map of US with outlined regions and states,5/22/24
Dave Cantin Group,DCG recreate logo file on white background,10/17/23
Dave Cantin Group,DCG - step and repeat design,
Dave Cantin Group,DCG - resize logo for youtube,
Dave Cantin Group,DCG - add headshot to grey gradient background,
Dave Cantin Group,DCG - resize 2023 auto news ad,
Dave Cantin Group,DCG - blaise transaction - card and banner needed,
Dave Cantin Group,DCG business card - Cameron Markeson,
Dave Cantin Group,DCG business card - todd kaminski,
Dave Cantin Group,DCG - linkedin graphics based on template,
Dave Cantin Group,DCG - pitchbook graphic - advisory services,
Dave Cantin Group,Redesign of DCG transactions for website,
Dave Cantin Group,DCG Poker chips - new variations needed,
Dave Cantin Group,DCG - robin p. pate - business card,
Dave Cantin Group,DCG | business cards design,
Dave Cantin Group,DCG nada brochure revisions,
Dave Cantin Group,DCG - create transaction card and deal header for MB northern arizona transaction,
Dave Cantin Group,DCG - custom pen proof,
Dave Cantin Group,DCG - jackson ford transaction artwork,
Dave Cantin Group,DCG transaction: MJ sullivan - card and header,
Dave Cantin Group,DCG - business card for michael frank,
Dave Cantin Group,"DCG - create cover page for booklet, add branding to state map page",
Dave Cantin Group,DCG - business card for michael frank ,
Dave Cantin Group,DCG - automotive news november ad,
Dave Cantin Group,DCG automotive news article for LinkedIn - graphic,
Dave Cantin Group,DCG - major hyundai transaction graphics,
Dave Cantin Group,DCG - transaction card and banner - Zeck Ford,
Dave Cantin Group,DCG business card - Dante Pileri,
Dave Cantin Group,DCG - new business card - Brandon Werley,
Dave Cantin Group,DCG - business card hugh morris,
Dave Cantin Group,DCG - bruce molloy new pic - put headshot on grey gradient background,
Dave Cantin Group,DCG - Todd's headshot,
Dave Cantin Group,DCG adjust ad size,
Dave Cantin Group,DCG - headshot on gradient grey packground,
Dave Cantin Group,DCG - create new header for giving portion of the site,
Dave Cantin Group,DCG -- Automotive news linkedIn graphic,
Dave Cantin Group,DCG - quick capital banner please!!,
Dave Cantin Group,DCG - OAp document updates - again,
Dave Cantin Group,DCG - jackson chevy transaction artwork,6/3/24
Dave Cantin Group,DCG - state maps - powerpoint,11/25/24
Dave Cantin Group,DCG - update copy on hero image,2/6/24
Dave Cantin Group,DCG - memo sheet and fax cover sheet,5/20/24
Dave Cantin Group,DCG - NADA reminder LinkedIn post,9/27/23
Dave Cantin Group,DCG Bruce malloy business card,1/30/24
Dave Cantin Group,DCG - business card design,9/17/24
Dave Cantin Group,DCG - C classic CDJR transaction tile and banner,7/1/24
Dave Cantin Group,DCG wordmark file,12/9/24
Dave Cantin Group,CG - new banner image for page,11/30/23
Dave Cantin Group,DCG - cameron markeson headshot - add to gradient background,5/23/24
Dave Cantin Group,DCG - clip headshot photos,10/18/23
Dave Cantin Group,DCG - auto news masthead image - jump IQ story,2/2/24
Dave Cantin Group,Create 10x8 photos,5/15/24
Dave Cantin Group,DCG - duplicate and edit automotive news ad,9/15/23
Dave Cantin Group,DCG - MOR study report cover needed,1/19/24
Dave Cantin Group,DCG - Malone ford transaction card and banner,8/27/24
Dave Cantin Group,DCG - cerritos JLR transaction,3/11/24
Dave Cantin Group,DCG - EuroCar transaction - banner and transaction card needed,6/4/24
Dave Cantin Group,DCG art work: crabtree-PSD transaction,10/27/23
Dave Cantin Group,DCG - add colors to excel table in powerpoint,5/21/24
Dave Cantin Group,DCG - Michael Frank headshot on grey gradient background,2/14/23
Dave Cantin Group,DCG - transaction card and banner - schulte,9/28/23
Dave Cantin Group,DCG - create transaction card for stephens CDJR acquisition,1/30/24
Dave Cantin Group,DCG - cbt email creative,1/5/24
Dave Cantin Group,DCG - update OAP PDF,3/29/24
Dave Cantin Group,DCG - convert text from PDF to word document,8/1/24
Dave Cantin Group,DCG - clip logo for C classic,12/19/24
Dave Cantin Group,Dealer news today - episode graphics,12/5/23
Dave Cantin Group,DCG - ed morse transaction creative,5/24/24
Dave Cantin Group,DCG - step & repeat - two design mock ups,11/18/24
Dave Cantin Group,DCG - deal transaction card and deal summary banner,10/18/23
Dave Cantin Group,DCG - add sharing icons to power point pages,2/5/24
Dave Cantin Group,DCG staff bio inserts - format content,5/16/24
Dave Cantin Group,DCG - bsuiness cards - denise & jodi,9/14/23
Dave Cantin Group,DCG - Bannister CDJR transaction tile and banner,1/23/24
Dave Cantin Group,DCG - clip robin pate's profile photo,4/17/24
Dave Cantin Group,DCG - luke murphy headshot - add to gray gradient background,8/30/24
Cg Team ,Cg | Q4 content,12/20/23
Cg Team ,Cg Tax quarterly content,11/3/23
Cg Team ,Cg| january content,2/9/24
Cg Team ,Cg  tax | july content,6/12/23
Cg Team ,Cg Tax | August content,10/3/23
Cg Team ,Cg Tax | september content,1/31/24
CareOne,CareOne northampton postcard envelope,4/26/24
CareOne,create logo for harmony village cherry hill,9/20/24
CareOne,enter final project sizes - CareOne print matrix,6/27/22
CareOne,B2B display & LinkedIn - update creative,6/29/22
CareOne,print portal - highlight areas that can be edited,7/26/22
CareOne,reputation monitoring zoom webinar background creation,11/4/22
Bridgeway Academy,bridgeway - create more ads!,7/1/22
Bridgeway Academy,Create ads,2/25/25
Bergen Oral  ,Bergen oral | record release form,12/2/24
Bergen Oral  ,Bergen oral | letterhead updates,11/1/24
Bergen Oral  ,Bergen oral | creative updates,11/8/24
Bergen Oral  ,Bergen oral | practice summary,11/15/24
Bergen Oral  ,Bergen Oral | edits on letterhead,9/30/24
Bergen Oral  ,BOMS: small edit on referral form,1/31/25
Bergen Oral  ,Bergen Oral | scannable doc,12/9/24
Bergen Oral  ,Bergen | editable word doc,12/2/24
Bergen Oral  ,Redesign to look like Bergen Oral ,10/30/24
Avanzar,AVANZAR: redesign impact statement,3/6/24
Avanzar,AVANZAR: quick turnaround ad,3/15/24
Avanzar,AVANZAR: create flyer,4/15/24
Avanzar,AVANZAR | image resizing ,9/20/24
The Dome at Adventure Crossing,The Dome: fact sheet revisions,5/16/24
The Dome at Adventure Crossing,The Dome | EZ fundraiser fact sheet,6/7/24
The Dome at Adventure Crossing,Dome | field day fact sheet,6/24/24
The Dome at Adventure Crossing,The Dome: ValPak coupon,5/20/24
The Dome at Adventure Crossing,The Dome: finesse creative,6/8/24
The Dome at Adventure Crossing,The Dome - Kosher Menu,4/12/24
The Dome at Adventure Crossing,The Dome: fact sheet changes,5/22/24
The Dome at Adventure Crossing,The dome: original fact sheet updates,6/11/24
The Dome at Adventure Crossing,THE DOME: golf outing fact sheet,4/30/24
The Dome at Adventure Crossing,The Dome | fundraiser screenhub,7/15/24
The Dome at Adventure Crossing,The Dome | father's day flyer,6/3/24
The Dome at Adventure Crossing,The Dome: design non-profit mailer,6/24/24
The Dome at Adventure Crossing,THE DOME: networking event fact sheet,5/6/24
The Dome at Adventure Crossing,The Dome | field day fact sheet,6/7/24
The Dome at Adventure Crossing,Dome | EZ fundraiser,6/24/24
Bergen Oral  ,Bergen oral Surgery: thank you card design ,6/27/24
Zippo's,Facebook/IG ads,10/28/24
Transworld,TBA: paid landing page,11/15/24
Single Throw Operations,ST: single throw website design,8/30/24
Veronica Jauregui,Proofing Project | Nielsen Automotive group,2/11/25
The Dome at Adventure Crossing,The Dome: proof website,5/14/24
The Dome at Adventure Crossing,The Dome: proofread document,5/18/24
Single Throw Operations,Proofing document,9/16/24
Single Throw Operations,ST - proofread blog/page,10/16/24
Single Throw Operations,proof landing page,10/31/24
Single Throw Operations,STM | proofing document,2/24/25
Single Throw Operations,LB.com | Proofing PPC landing pages,3/17/25
Single Throw Operations,STM | proofing blog post,2/6/25
Nielsen Automotive Group,Nielsen | proofing: best mid-size SUVs,2/17/25
Nielsen Automotive Group,jeep wrangler vs ford bronco | proofreading,2/24/25
Nielsen Automotive Group,Nielsen auto group: document proof,5/16/24
Transworld,Transworld Corporate - valuation launch,1/23/25
Single Throw Operations,ST: NJMEP landing page options,10/1/24
Transworld,Transworld: blog reformatting project,3/3/25
Single Throw Operations,singlethrow | logo carousel,2/6/25
Ray Catena Motorcar,Ray catena LEV | model pages,
Performance Ortho,Performance ortho | leadership placement swap,3/20/25
Performance Ortho,hillsborough location: performance ortho,3/13/25
Performance Ortho,Meeting Point |PRP page,3/11/25
Meeting Point Health,Meeting Point health | peptides removal,3/18/25
JAG Physical Therapy,JAG | paramus headshot,3/19/25
JAG Physical Therapy,JAG | tribeca images,3/12/25
JAG Physical Therapy,JAG | performance rehab press release,2/28/25
JAG Physical Therapy,JAG | T3 article feature,3/14/25
JAG Physical Therapy,JAG | CD updates,3/7/25
JAG Physical Therapy,JAG | forbed article,2/12/25
JAG Physical Therapy,JAG | our team page updates ,3/13/25
JAG Physical Therapy,JAG | location images ,3/3/25
JAG Physical Therapy,JAG | forbes article ,11/22/24
JAG Physical Therapy,JAG | headshot updates,3/17/25
JAG Physical Therapy,JAG | tribeca press release,3/5/25
JAG Physical Therapy,JAG | new grad mentorship page,3/21/25
JAG Physical Therapy,JAG | article feature,3/13/25
JAG Physical Therapy,JAG | great kills location setup,11/25/24
JAG Physical Therapy,JAG | AskMen article feature,3/18/25
JAG Physical Therapy,JAG | real simple feature,3/7/25
JAG Physical Therapy,JAG | specialized location content,2/19/25
JAG Physical Therapy,JAG | Nike article feature ,3/7/25
JAG Physical Therapy,JAG | specialities content,2/6/25
JAG Physical Therapy,JAG | site hours update ,2/20/25
JAG Physical Therapy,JAG | dry needling update ,3/14/25
JAG Physical Therapy,JAG | monsignor farrell press release,3/7/25
Avanzar,AVANZAR: web dev estimate,6/12/24
